Year,Electricity_Supplied,Purchased,Imported,Available,Lost_in_Transmisssion ,Total_capacity,Usage_Fuel,Industrial_Use,Domestic_Use,Other,Total_Used
1974,237.21 ,0.60 ,0.05 ,237.86 ,18.22 ,219.64 ,6.12 ,75.81 ,92.63 ,45.08 ,213.52 
1975,237.76 ,0.70 ,0.08 ,238.54 ,19.47 ,219.07 ,6.29 ,75.36 ,89.21 ,48.21 ,212.78 
1976,240.22 ,0.61 ,-0.10 ,240.73 ,18.73 ,222.00 ,6.39 ,80.84 ,85.12 ,49.65 ,215.61 
1977,246.82 ,0.74 ,- ,247.56 ,20.76 ,226.80 ,6.41 ,82.06 ,85.90 ,52.43 ,220.39 
1978,252.65 ,0.66 ,-0.08 ,253.23 ,21.81 ,231.42 ,6.52 ,84.00 ,85.80 ,55.10 ,224.90 
1979,264.34 ,0.63 ,- ,264.97 ,22.97 ,242.00 ,6.78 ,87.55 ,89.67 ,58.00 ,235.22 
1980,252.02 ,0.61 ,- ,252.63 ,21.53 ,231.11 ,6.86 ,79.73 ,86.11 ,58.41 ,224.25 
1981,246.60 ,0.74 ,- ,247.34 ,20.13 ,227.21 ,6.86 ,77.03 ,84.44 ,58.88 ,220.35 
1982,242.48 ,0.82 ,- ,243.30 ,20.48 ,222.82 ,6.81 ,73.91 ,82.79 ,59.31 ,216.01 
1983,246.15 ,1.15 ,- ,247.30 ,21.21 ,226.09 ,6.69 ,74.17 ,82.95 ,62.28 ,219.40 
1984,251.47 ,0.55 ,- ,252.02 ,21.06 ,230.96 ,6.64 ,78.64 ,83.90 ,61.78 ,224.32 
1985,263.56 ,0.92 ,- ,264.48 ,22.63 ,241.85 ,7.76 ,79.53 ,88.23 ,66.33 ,234.09 
1986,278.48 ,- ,4.26 ,282.73 ,22.91 ,259.82 ,9.51 ,88.80 ,91.83 ,69.68 ,250.31 
1987,279.71 ,- ,11.64 ,291.34 ,22.96 ,268.38 ,9.49 ,93.14 ,93.25 ,72.50 ,258.89 
1988,285.71 ,- ,12.14 ,297.85 ,23.35 ,274.50 ,9.16 ,97.14 ,92.36 ,75.84 ,265.34 
1989,291.75 ,- ,12.63 ,304.38 ,24.98 ,279.40 ,9.00 ,99.42 ,92.27 ,78.71 ,270.40 
1990,297.50 ,- ,11.91 ,309.41 ,24.99 ,284.42 ,9.99 ,100.64 ,93.79 ,80.00 ,274.43 
1991,300.65 ,- ,16.41 ,317.06 ,26.22 ,290.84 ,9.79 ,99.57 ,98.10 ,83.38 ,281.05 
1992,298.55 ,- ,16.69 ,315.24 ,23.79 ,291.45 ,9.98 ,95.28 ,99.48 ,86.71 ,281.47 
1993,301.87 ,- ,16.72 ,318.59 ,22.84 ,295.75 ,9.62 ,96.84 ,100.46 ,88.83 ,286.13 
1994,306.94 ,- ,16.89 ,323.83 ,31.00 ,292.83 ,7.52 ,96.12 ,101.41 ,87.78 ,285.31 
1995,317.63 ,- ,16.61 ,334.24 ,30.32 ,303.92 ,8.07 ,101.78 ,102.21 ,91.86 ,295.85 
1996,332.36 ,- ,16.76 ,349.11 ,29.34 ,319.78 ,9.21 ,107.63 ,107.51 ,95.42 ,310.57 
1997,331.63 ,- ,16.57 ,348.20 ,27.14 ,321.07 ,8.62 ,108.10 ,104.46 ,99.88 ,312.44 
1998,342.70 ,- ,12.47 ,355.17 ,29.82 ,325.35 ,8.41 ,108.44 ,109.41 ,99.09 ,316.94 
1999,347.67 ,- ,14.24 ,361.92 ,29.86 ,332.05 ,8.04 ,112.25 ,110.31 ,101.46 ,324.02 
2000,357.27 ,- ,14.17 ,371.44 ,31.14 ,340.30 ,9.70 ,115.29 ,111.84 ,103.47 ,330.59 
2001,364.17 ,- ,10.40 ,374.57 ,32.07 ,342.50 ,8.63 ,112.50 ,115.34 ,106.05 ,333.88 
2002,366.66 ,- ,8.41 ,375.07 ,30.96 ,344.11 ,10.06 ,110.82 ,120.01 ,103.22 ,334.05 
2003,376.53 ,- ,2.16 ,378.69 ,32.07 ,346.62 ,9.75 ,109.93 ,123.00 ,103.94 ,336.87 
2004,373.40 ,- ,7.49 ,380.89 ,33.18 ,347.71 ,8.14 ,112.09 ,124.20 ,103.28 ,339.57 
2005,376.78 ,- ,8.32 ,385.10 ,27.90 ,357.20 ,7.85 ,116.70 ,125.71 ,106.94 ,349.35 
2006,373.86 ,- ,7.52 ,381.38 ,27.52 ,353.86 ,8.00 ,115.53 ,124.70 ,105.63 ,345.87 
2007,374.06 ,- ,5.22 ,379.28 ,27.83 ,351.45 ,9.19 ,113.41 ,123.08 ,105.78 ,342.26 
2008,367.18 ,- ,11.02 ,378.20 ,28.10 ,349.53 ,7.71 ,114.15 ,119.80 ,107.87 ,341.82 
2009,355.31 ,- ,2.86 ,358.17 ,28.15 ,329.42 ,7.67 ,99.74 ,118.54 ,103.47 ,321.75 
2010,361.73 ,- ,2.66 ,364.40 ,26.89 ,337.51 ,8.25 ,104.96 ,118.83 ,105.47 ,329.26 
2011,347.69 ,- ,6.22 ,353.91 ,27.99 ,325.92 ,7.67 ,102.80 ,111.59 ,103.87 ,318.25 
2012,341.91 ,- ,11.86 ,353.78 ,28.29 ,325.48 ,6.73 ,98.94 ,114.66 ,105.15 ,318.76 
2013,336.50 ,- ,14.43 ,350.94 ,26.55 ,324.38 ,7.54 ,97.55 ,113.41 ,105.88 ,316.84 
2014,317.73 ,- ,20.52 ,338.25 ,27.45 ,310.80 ,7.46 ,93.57 ,108.08 ,101.70 ,303.35 
2015,318.51 ,- ,21.11 ,339.62 ,28.20 ,311.42 ,7.53 ,93.35 ,107.76 ,102.78 ,303.89 
2016,319.88 ,- ,17.75 ,337.63 ,26.33 ,311.30 ,7.02 ,93.56 ,108.03 ,102.69 ,304.28 
2017,318.87 ,- ,14.76 ,333.63 ,26.83 ,306.79 ,6.92 ,92.53 ,105.37 ,101.97 ,299.87 
2018,313.92 ,- ,19.11 ,333.03 ,25.65 ,307.37 ,6.71 ,94.09 ,105.06 ,101.51 ,300.66 
2019,307.03 ,- ,21.17 ,328.20 ,25.45 ,302.75 ,6.54 ,92.43 ,103.82 ,99.95 ,296.20 
2020,295.81 ,- ,17.91 ,313.72 ,26.31 ,287.42 ,6.94 ,83.89 ,107.85 ,88.74 ,280.48 
